8.0,307.00,130.00,3504.0,12.00,70.0,1.0,18.00
8.0,350.00,165.00,3693.0,11.05,70.0,1.0,15.00
8.0,318.00,150.00,3436.0,11.00,70.0,1.0,18.00
8.0,304.00,150.00,3433.0,12.00,70.0,1.0,16.00
8.0,302.00,140.00,3449.0,10.05,70.0,1.0,17.00
8.0,429.00,198.00,4341.0,10.00,70.0,1.0,15.00
8.0,454.00,220.00,4354.0,9.00,70.0,1.0,14.00
8.0,440.00,215.00,4312.0,8.05,70.0,1.0,14.00
8.0,455.00,225.00,4425.0,10.00,70.0,1.0,14.00
8.0,390.00,190.00,3850.0,8.05,70.0,1.0,15.00
8.0,383.00,170.00,3563.0,10.00,70.0,1.0,15.00
8.0,340.00,160.00,3609.0,8.00,70.0,1.0,14.00
8.0,400.00,150.00,3761.0,9.05,70.0,1.0,15.00
8.0,455.00,225.00,3086.0,10.00,70.0,1.0,14.00
4.0,113.00,95.000,2372.0,15.00,70.0,3.0,24.00
6.0,198.00,95.000,2833.0,15.05,70.0,1.0,22.00
6.0,199.00,97.000,2774.0,15.05,70.0,1.0,18.00
6.0,200.00,85.000,2587.0,16.00,70.0,1.0,21.00
4.0,97.000,88.000,2130.0,14.05,70.0,3.0,27.00
4.0,97.000,46.000,1835.0,20.05,70.0,2.0,26.00
4.0,110.00,87.000,2672.0,17.05,70.0,2.0,25.00
4.0,107.00,90.000,2430.0,14.05,70.0,2.0,24.00
4.0,104.00,95.000,2375.0,17.05,70.0,2.0,25.00
4.0,121.00,113.00,2234.0,12.05,70.0,2.0,26.00
6.0,199.00,90.000,2648.0,15.00,70.0,1.0,21.00
8.0,360.00,215.00,4615.0,14.00,70.0,1.0,10.00
8.0,307.00,200.00,4376.0,15.00,70.0,1.0,10.00
8.0,318.00,210.00,4382.0,13.05,70.0,1.0,11.00
8.0,304.00,193.00,4732.0,18.05,70.0,1.0,9.00
4.0,97.000,88.000,2130.0,14.05,71.0,3.0,27.00
4.0,140.00,90.000,2264.0,15.05,71.0,1.0,28.00
4.0,113.00,95.000,2228.0,14.00,71.0,3.0,25.00
6.0,232.00,100.00,2634.0,13.00,71.0,1.0,19.00
6.0,225.00,105.00,3439.0,15.05,71.0,1.0,16.00
6.0,250.00,100.00,3329.0,15.05,71.0,1.0,17.00
6.0,250.00,88.000,3302.0,15.05,71.0,1.0,19.00
6.0,232.00,100.00,3288.0,15.05,71.0,1.0,18.00
8.0,350.00,165.00,4209.0,12.00,71.0,1.0,14.00
8.0,400.00,175.00,4464.0,11.05,71.0,1.0,14.00
8.0,351.00,153.00,4154.0,13.05,71.0,1.0,14.00
8.0,318.00,150.00,4096.0,13.00,71.0,1.0,14.00
8.0,383.00,180.00,4955.0,11.05,71.0,1.0,12.00
8.0,400.00,170.00,4746.0,12.00,71.0,1.0,13.00
8.0,400.00,175.00,5140.0,12.00,71.0,1.0,13.00
6.0,258.00,110.00,2962.0,13.05,71.0,1.0,18.00
4.0,140.00,72.000,2408.0,19.00,71.0,1.0,22.00
6.0,250.00,100.00,3282.0,15.00,71.0,1.0,19.00
6.0,250.00,88.000,3139.0,14.05,71.0,1.0,18.00
4.0,122.00,86.000,2220.0,14.00,71.0,1.0,23.00
4.0,116.00,90.000,2123.0,14.00,71.0,2.0,28.00
4.0,79.000,70.000,2074.0,19.05,71.0,2.0,30.00
4.0,88.000,76.000,2065.0,14.05,71.0,2.0,30.00
4.0,71.000,65.000,1773.0,19.00,71.0,3.0,31.00
4.0,72.000,69.000,1613.0,18.00,71.0,3.0,35.00
4.0,97.000,60.000,1834.0,19.00,71.0,2.0,27.00
4.0,91.000,70.000,1955.0,20.05,71.0,1.0,26.00
4.0,113.00,95.000,2278.0,15.05,72.0,3.0,24.00
4.0,97.050,80.000,2126.0,17.00,72.0,1.0,25.00
4.0,97.000,54.000,2254.0,23.05,72.0,2.0,23.00
4.0,140.00,90.000,2408.0,19.05,72.0,1.0,20.00
4.0,122.00,86.000,2226.0,16.05,72.0,1.0,21.00
8.0,350.00,165.00,4274.0,12.00,72.0,1.0,13.00
8.0,400.00,175.00,4385.0,12.00,72.0,1.0,14.00
8.0,318.00,150.00,4135.0,13.05,72.0,1.0,15.00
8.0,351.00,153.00,4129.0,13.00,72.0,1.0,14.00
8.0,304.00,150.00,3672.0,11.05,72.0,1.0,17.00
8.0,429.00,208.00,4633.0,11.00,72.0,1.0,11.00
8.0,350.00,155.00,4502.0,13.05,72.0,1.0,13.00
8.0,350.00,160.00,4456.0,13.05,72.0,1.0,12.00
8.0,400.00,190.00,4422.0,12.05,72.0,1.0,13.00
3.0,70.000,97.000,2330.0,13.05,72.0,3.0,19.00
8.0,304.00,150.00,3892.0,12.05,72.0,1.0,15.00
8.0,307.00,130.00,4098.0,14.00,72.0,1.0,13.00
8.0,302.00,140.00,4294.0,16.00,72.0,1.0,13.00
