Iteration,Objective,Score,MinOut,MaxOut,stdDevMinOutPos,stdDevMinOutNeg,StdDevMaxOutPos,StdDevMaxOutNeg,HyperplanePercentage
0,2.98825e+06,0,-0.00476397,-nan,0.00276196,0.0028381,-nan,-nan,1.33851e-15
1,2.96493e+06,0,-0.0143643,-nan,0.00272821,0.00280533,-nan,-nan,1.34897e-15
2,2.94189e+06,0,-0.0238509,-nan,0.00269555,0.00277228,-nan,-nan,1.35947e-15
3,2.91912e+06,0,-0.0332244,-nan,0.00266283,0.00274008,-nan,-nan,1.37001e-15
4,2.89663e+06,0,-0.042486,-nan,0.00263095,0.0027078,-nan,-nan,1.38058e-15
5,2.8744e+06,0,-0.0516372,-nan,0.00259944,0.00267591,-nan,-nan,1.39119e-15
6,2.85244e+06,0,-0.0606792,-nan,0.00256789,0.00264484,-nan,-nan,1.40184e-15
7,2.83074e+06,0,-0.0696133,-nan,0.00253714,0.0026137,-nan,-nan,1.41251e-15
8,2.8093e+06,0,-0.0784409,-nan,0.00250634,0.00258337,-nan,-nan,1.42323e-15
9,2.78812e+06,0,-0.0871632,-nan,0.00247632,0.00255296,-nan,-nan,1.43397e-15
10,2.76719e+06,0,-0.0957814,-nan,0.00244626,0.00252334,-nan,-nan,1.44475e-15
11,2.7465e+06,0,-0.104297,-nan,0.00241696,0.00249365,-nan,-nan,1.45556e-15
12,2.72607e+06,0,-0.112711,-nan,0.00238801,0.00246431,-nan,-nan,1.4664e-15
13,2.70588e+06,0,-0.121024,-nan,0.00235901,0.00243574,-nan,-nan,1.47727e-15
14,2.68593e+06,0,-0.129239,-nan,0.00233075,0.00240709,-nan,-nan,1.48817e-15
15,2.66621e+06,0,-0.137355,-nan,0.00230245,0.00237919,-nan,-nan,1.4991e-15
16,2.64674e+06,0,-0.145374,-nan,0.00227486,0.00235122,-nan,-nan,1.51006e-15
17,2.62749e+06,0,-0.153298,-nan,0.00224724,0.00232397,-nan,-nan,1.52105e-15
18,2.60848e+06,0,-0.161128,-nan,0.00222031,0.00229666,-nan,-nan,1.53206e-15
19,2.58969e+06,0,-0.168864,-nan,0.00219335,0.00227006,-nan,-nan,1.54311e-15
20,2.57112e+06,0,-0.176507,-nan,0.00216706,0.00224339,-nan,-nan,1.55417e-15
21,2.55278e+06,0,-0.18406,-nan,0.00214074,0.00221741,-nan,-nan,1.56527e-15
