Iteration,Objective,Score,MinOut,MaxOut,stdDevMinOutPos,stdDevMinOutNeg,StdDevMaxOutPos,StdDevMaxOutNeg,HyperplanePercentage
0,2.98864e+06,0,-0.00475951,-nan,0.00276295,0.00272739,-nan,-nan,1.33834e-15
1,2.9661e+06,0,-0.0141969,-nan,0.00272942,0.00269553,-nan,-nan,1.34844e-15
2,2.94384e+06,0,-0.0235225,-nan,0.00269742,0.00266293,-nan,-nan,1.35858e-15
3,2.92183e+06,0,-0.0327368,-nan,0.00266535,0.00263117,-nan,-nan,1.36874e-15
4,2.90009e+06,0,-0.0418412,-nan,0.00263366,0.00259978,-nan,-nan,1.37894e-15
5,2.87861e+06,0,-0.0508371,-nan,0.00260235,0.00256876,-nan,-nan,1.38916e-15
6,2.85738e+06,0,-0.0597256,-nan,0.00257141,0.00253812,-nan,-nan,1.39941e-15
7,2.83641e+06,0,-0.0685081,-nan,0.00254127,0.00250743,-nan,-nan,1.40969e-15
8,2.81569e+06,0,-0.0771858,-nan,0.00251106,0.00247751,-nan,-nan,1.42e-15
9,2.79521e+06,0,-0.0857601,-nan,0.00248121,0.00244796,-nan,-nan,1.43033e-15
10,2.77498e+06,0,-0.094232,-nan,0.00245172,0.00241875,-nan,-nan,1.44069e-15
11,2.75499e+06,0,-0.102603,-nan,0.00242258,0.0023899,-nan,-nan,1.45107e-15
12,2.73524e+06,0,-0.110874,-nan,0.00239419,0.002361,-nan,-nan,1.46148e-15
13,2.71572e+06,0,-0.119046,-nan,0.00236574,0.00233283,-nan,-nan,1.47191e-15
14,2.69644e+06,0,-0.127121,-nan,0.00233762,0.002305,-nan,-nan,1.48237e-15
15,2.67739e+06,0,-0.1351,-nan,0.00230984,0.0022775,-nan,-nan,1.49285e-15
16,2.65856e+06,0,-0.142983,-nan,0.00228239,0.00225033,-nan,-nan,1.50335e-15
17,2.63996e+06,0,-0.150773,-nan,0.00225565,0.00222312,-nan,-nan,1.51387e-15
18,2.62158e+06,0,-0.158469,-nan,0.00222885,0.0021966,-nan,-nan,1.52441e-15
19,2.60342e+06,0,-0.166074,-nan,0.00220237,0.0021704,-nan,-nan,1.53497e-15
20,2.58548e+06,0,-0.173588,-nan,0.0021762,0.0021445,-nan,-nan,1.54554e-15
21,2.56775e+06,0,-0.181012,-nan,0.00215035,0.00211892,-nan,-nan,1.55614e-15
22,2.55023e+06,0,-0.188348,-nan,0.00212516,0.0020933,-nan,-nan,1.56675e-15
23,2.53292e+06,0,-0.195596,-nan,0.00209992,0.00206832,-nan,-nan,1.57739e-15
24,2.51582e+06,0,-0.202758,-nan,0.00207498,0.00204365,-nan,-nan,1.58803e-15
25,2.49892e+06,0,-0.209834,-nan,0.00205033,0.00201927,-nan,-nan,1.59869e-15
26,2.48222e+06,0,-0.216826,-nan,0.00202632,0.00199485,-nan,-nan,1.60937e-15
27,2.46573e+06,0,-0.223735,-nan,0.00200225,0.00197105,-nan,-nan,1.62006e-15
28,2.44943e+06,0,-0.230561,-nan,0.00197847,0.00194754,-nan,-nan,1.63076e-15
29,2.43332e+06,0,-0.237306,-nan,0.00195498,0.00192431,-nan,-nan,1.64148e-15
30,2.41741e+06,0,-0.24397,-nan,0.00193177,0.00190135,-nan,-nan,1.65221e-15
31,2.40168e+06,0,-0.250555,-nan,0.00190915,0.00187836,-nan,-nan,1.66294e-15
32,2.38614e+06,0,-0.257061,-nan,0.00188648,0.00185595,-nan,-nan,1.67369e-15
33,2.37079e+06,0,-0.26349,-nan,0.00186408,0.00183381,-nan,-nan,1.68445e-15
34,2.35562e+06,0,-0.269841,-nan,0.00184195,0.00181193,-nan,-nan,1.69521e-15
35,2.34064e+06,0,-0.276118,-nan,0.00182039,0.00179002,-nan,-nan,1.70599e-15
36,2.32583e+06,0,-0.282319,-nan,0.00179879,0.00176866,-nan,-nan,1.71677e-15
37,2.3112e+06,0,-0.288446,-nan,0.00177743,0.00174756,-nan,-nan,1.72755e-15
38,2.29674e+06,0,-0.294501,-nan,0.00175634,0.00172672,-nan,-nan,1.73834e-15
39,2.28245e+06,0,-0.300483,-nan,0.00173579,0.00170584,-nan,-nan,1.74914e-15
40,2.26834e+06,0,-0.306393,-nan,0.00171519,0.00168549,-nan,-nan,1.75994e-15
41,2.25439e+06,0,-0.312233,-nan,0.00169483,0.00166538,-nan,-nan,1.77074e-15
42,2.24061e+06,0,-0.318004,-nan,0.00167472,0.00164551,-nan,-nan,1.78155e-15
43,2.227e+06,0,-0.323706,-nan,0.00165513,0.00162561,-nan,-nan,1.79235e-15
44,2.21354e+06,0,-0.329339,-nan,0.00163549,0.00160622,-nan,-nan,1.80316e-15
