Iteration,Objective,Score,MinOut,MaxOut,stdDevMinOutPos,stdDevMinOutNeg,StdDevMaxOutPos,StdDevMaxOutNeg,HyperplanePercentage
0,2.98854e+06,0,-0.00476862,-nan,0.00275509,0.00276959,-nan,-nan,1.33838e-15
1,2.96579e+06,0,-0.0142496,-nan,0.00272158,0.00273741,-nan,-nan,1.34858e-15
2,2.94332e+06,0,-0.0236183,-nan,0.00268914,0.00270494,-nan,-nan,1.35882e-15
3,2.92111e+06,0,-0.0328752,-nan,0.00265709,0.00267285,-nan,-nan,1.36908e-15
4,2.89917e+06,0,-0.0420218,-nan,0.00262543,0.00264115,-nan,-nan,1.37938e-15
5,2.87749e+06,0,-0.0510592,-nan,0.00259414,0.00260983,-nan,-nan,1.3897e-15
6,2.85606e+06,0,-0.0599888,-nan,0.00256323,0.00257888,-nan,-nan,1.40006e-15
7,2.8349e+06,0,-0.0688119,-nan,0.00253268,0.00254829,-nan,-nan,1.41044e-15
8,2.81398e+06,0,-0.0775297,-nan,0.00250209,0.0025185,-nan,-nan,1.42086e-15
9,2.79332e+06,0,-0.0861436,-nan,0.00247186,0.00248905,-nan,-nan,1.4313e-15
10,2.7729e+06,0,-0.0946547,-nan,0.0024424,0.00245954,-nan,-nan,1.44177e-15
11,2.75273e+06,0,-0.103064,-nan,0.0024133,0.00243039,-nan,-nan,1.45227e-15
12,2.73279e+06,0,-0.111374,-nan,0.00238454,0.00240158,-nan,-nan,1.46279e-15
13,2.7131e+06,0,-0.119584,-nan,0.00235574,0.00237351,-nan,-nan,1.47334e-15
14,2.69364e+06,0,-0.127696,-nan,0.00232767,0.00234538,-nan,-nan,1.48391e-15
15,2.67441e+06,0,-0.135711,-nan,0.00229993,0.00231758,-nan,-nan,1.49451e-15
16,2.65541e+06,0,-0.143631,-nan,0.00227215,0.0022905,-nan,-nan,1.50513e-15
17,2.63664e+06,0,-0.151457,-nan,0.00224508,0.00226336,-nan,-nan,1.51577e-15
18,2.61809e+06,0,-0.159189,-nan,0.00221796,0.00223692,-nan,-nan,1.52644e-15
19,2.59976e+06,0,-0.166829,-nan,0.00219153,0.00221041,-nan,-nan,1.53713e-15
20,2.58165e+06,0,-0.174377,-nan,0.00216506,0.00218459,-nan,-nan,1.54784e-15
21,2.56376e+06,0,-0.181836,-nan,0.00213927,0.00215872,-nan,-nan,1.55856e-15
22,2.54608e+06,0,-0.189206,-nan,0.00211378,0.00213315,-nan,-nan,1.56931e-15
23,2.52861e+06,0,-0.196487,-nan,0.00208825,0.00210824,-nan,-nan,1.58008e-15
24,2.51135e+06,0,-0.203682,-nan,0.00206337,0.00208327,-nan,-nan,1.59086e-15
25,2.49429e+06,0,-0.210791,-nan,0.00203879,0.0020586,-nan,-nan,1.60166e-15
26,2.47744e+06,0,-0.217816,-nan,0.00201416,0.00203457,-nan,-nan,1.61248e-15
27,2.46079e+06,0,-0.224756,-nan,0.00199017,0.00201048,-nan,-nan,1.62331e-15
28,2.44434e+06,0,-0.231614,-nan,0.00196646,0.00198668,-nan,-nan,1.63416e-15
29,2.42809e+06,0,-0.23839,-nan,0.00194303,0.00196316,-nan,-nan,1.64502e-15
30,2.41203e+06,0,-0.245085,-nan,0.00191988,0.00193993,-nan,-nan,1.65589e-15
31,2.39616e+06,0,-0.2517,-nan,0.00189701,0.00191697,-nan,-nan,1.66678e-15
32,2.38048e+06,0,-0.258236,-nan,0.0018741,0.0018946,-nan,-nan,1.67768e-15
33,2.36498e+06,0,-0.264695,-nan,0.00185178,0.00187218,-nan,-nan,1.68859e-15
34,2.34967e+06,0,-0.271076,-nan,0.00182972,0.00185003,-nan,-nan,1.69951e-15
35,2.33455e+06,0,-0.277381,-nan,0.00180793,0.00182814,-nan,-nan,1.71044e-15
36,2.3196e+06,0,-0.283611,-nan,0.00178639,0.00180652,-nan,-nan,1.72137e-15
37,2.30483e+06,0,-0.289767,-nan,0.00176511,0.00178515,-nan,-nan,1.73232e-15
38,2.29024e+06,0,-0.295849,-nan,0.0017438,0.00176434,-nan,-nan,1.74327e-15
39,2.27583e+06,0,-0.301859,-nan,0.00172303,0.00174347,-nan,-nan,1.75423e-15
40,2.26158e+06,0,-0.307797,-nan,0.00170251,0.00172286,-nan,-nan,1.7652e-15
41,2.24751e+06,0,-0.313664,-nan,0.00168223,0.00170249,-nan,-nan,1.77617e-15
42,2.2336e+06,0,-0.319461,-nan,0.00166219,0.00168236,-nan,-nan,1.78714e-15
43,2.21986e+06,0,-0.325189,-nan,0.00164212,0.00166275,-nan,-nan,1.79812e-15
44,2.20628e+06,0,-0.330849,-nan,0.00162257,0.0016431,-nan,-nan,1.80909e-15
45,2.19286e+06,0,-0.336441,-nan,0.00160324,0.00162368,-nan,-nan,1.82007e-15
46,2.17961e+06,0,-0.341967,-nan,0.00158415,0.0016045,-nan,-nan,1.83106e-15
47,2.16651e+06,0,-0.347426,-nan,0.00156528,0.00158554,-nan,-nan,1.84204e-15
48,2.15357e+06,0,-0.352821,-nan,0.00154664,0.00156681,-nan,-nan,1.85302e-15
49,2.14078e+06,0,-0.358151,-nan,0.00152797,0.00154856,-nan,-nan,1.864e-15
50,2.12815e+06,0,-0.363417,-nan,0.00150978,0.00153027,-nan,-nan,1.87497e-15
51,2.11567e+06,0,-0.368621,-nan,0.0014918,0.0015122,-nan,-nan,1.88594e-15
52,2.10333e+06,0,-0.373763,-nan,0.00147403,0.00149434,-nan,-nan,1.89691e-15
53,2.09114e+06,0,-0.378843,-nan,0.00145648,0.0014767,-nan,-nan,1.90788e-15
54,2.0791e+06,0,-0.383863,-nan,0.0014389,0.00145951,-nan,-nan,1.91884e-15
55,2.0672e+06,0,-0.388822,-nan,0.00142177,0.00144228,-nan,-nan,1.92979e-15
56,2.05545e+06,0,-0.393723,-nan,0.00140484,0.00142526,-nan,-nan,1.94073e-15
57,2.04383e+06,0,-0.398565,-nan,0.00138811,0.00140844,-nan,-nan,1.95167e-15
58,2.03235e+06,0,-0.40335,-nan,0.00137159,0.00139183,-nan,-nan,1.9626e-15
59,2.02101e+06,0,-0.408077,-nan,0.00135503,0.00137564,-nan,-nan,1.97351e-15
60,2.00981e+06,0,-0.412748,-nan,0.0013389,0.00135941,-nan,-nan,1.98442e-15
61,1.99873e+06,0,-0.417363,-nan,0.00132296,0.00134338,-nan,-nan,1.99532e-15
62,1.98779e+06,0,-0.421924,-nan,0.00130721,0.00132753,-nan,-nan,2.0062e-15
63,1.97699e+06,0,-0.426429,-nan,0.00129165,0.00131188,-nan,-nan,2.01708e-15
64,1.9663e+06,0,-0.430882,-nan,0.00127606,0.00129663,-nan,-nan,2.02794e-15
65,1.95575e+06,0,-0.435281,-nan,0.00126087,0.00128135,-nan,-nan,2.03878e-15
66,1.94532e+06,0,-0.439627,-nan,0.00124586,0.00126625,-nan,-nan,2.04961e-15
67,1.93502e+06,0,-0.443922,-nan,0.00123103,0.00125133,-nan,-nan,2.06042e-15
68,1.92484e+06,0,-0.448165,-nan,0.00121638,0.00123658,-nan,-nan,2.07122e-15
69,1.91478e+06,0,-0.452358,-nan,0.00120171,0.00122222,-nan,-nan,2.082e-15
70,1.90485e+06,0,-0.456501,-nan,0.0011874,0.00120782,-nan,-nan,2.09276e-15
71,1.89503e+06,0,-0.460594,-nan,0.00117327,0.0011936,-nan,-nan,2.10351e-15
72,1.88532e+06,0,-0.464639,-nan,0.00115931,0.00117954,-nan,-nan,2.11423e-15
73,1.87574e+06,0,-0.468635,-nan,0.00114551,0.00116566,-nan,-nan,2.12494e-15
74,1.86626e+06,0,-0.472584,-nan,0.00113169,0.00115213,-nan,-nan,2.13562e-15
75,1.8569e+06,0,-0.476485,-nan,0.00111822,0.00113857,-nan,-nan,2.14628e-15
76,1.84765e+06,0,-0.48034,-nan,0.00110492,0.00112517,-nan,-nan,2.15692e-15
77,1.83852e+06,0,-0.484149,-nan,0.00109177,0.00111193,-nan,-nan,2.16754e-15
78,1.82949e+06,0,-0.487913,-nan,0.00107878,0.00109885,-nan,-nan,2.17813e-15
79,1.82057e+06,0,-0.491632,-nan,0.00106576,0.00108611,-nan,-nan,2.1887e-15
